# !SESSION 2025-10-20 12:08:50.177
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| Worker-6: Setup scanner extension configuration | 2025-10-20 15:59:10.288 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR The provider for (arm, 9.0.0) failed to initialize and cannot be used. |
| Worker-8: Setup scanner extension configuration | 2025-10-20 15:59:10.298 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR The provider for (arm, 9.0.0) failed to initialize and cannot be used. |
| Worker-2: Setup scanner extension configuration | 2025-10-20 15:59:10.305 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR The provider for (arm, 9.0.0) failed to initialize and cannot be used. |
# !SESSION 2025-10-21 10:46:00.442
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| main | 2025-10-21 10:46:00.442 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.debugger.timeline.service INFO Timeline data source providers found: [com.iar.ide.debugger.timeline.service.TimelineServiceDataSourceProvider@62371858] |
| Worker-7: Setup scanner extension configuration | 2025-10-21 10:46:09.669 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common INFO Path to EW stage not found for provider iar.sdkprovider.arm.v8. Requesting a settings dialog to be displayed... |
| Worker-7: Setup scanner extension configuration | 2025-10-21 10:46:13.705 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR Path to EW has not been specified for provider iar.sdkprovider.arm.v8. The C-SPY plugins will not function properly. |
| Worker-7: Setup scanner extension configuration | 2025-10-21 10:46:13.712 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.project.utils ERROR SDK location does not exist: \arm |
| Worker-7: Setup scanner extension configuration | 2025-10-21 10:46:13.717 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR Failed to create provider for (arm, 9.0.0). Will now try to revert to build-only support. |
| Worker-7: Setup scanner extension configuration | 2025-10-21 10:46:13.725 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common INFO Path to EW stage not found for provider iar.sdkprovider.arm.v8. Requesting a settings dialog to be displayed... |
